Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
JP Faulkner (AUS),2014-2016,5,5,101,16.5,0,133,8,5/27,16.62,7.90,12.62,0,1,0
R Shepherd (WI),2024-2026,9,8,110,18.2,0,192,8,5/20,24.00,10.47,13.75,0,1,0
Junaid Siddique (UAE),2022-2026,7,7,154,25.4,0,223,11,5/35,20.27,8.68,14.00,0,1,0
Ahsan Malik (NED),2014-2016,9,8,155,25.5,0,171,12,5/19,14.25,6.61,12.91,0,1,0
HMRKB Herath (SL),2012-2016,10,10,213,35.3,3,214,13,5/3,16.46,6.02,16.38,0,1,0
Mujeeb Ur Rahman (AFG),2021-2026,11,11,252,42.0,0,284,17,5/20,16.70,6.76,14.82,0,1,0
Fazalhaq Farooqi (AFG),2022-2026,13,13,257,42.5,1,292,21,5/9,13.90,6.81,12.23,1,1,0
SM Curran (ENG),2022-2026,19,18,338,56.2,0,468,22,5/10,21.27,8.30,15.36,0,1,0
AJ Hosein (WI),2021-2026,21,21,444,74.0,2,524,23,5/11,22.78,7.08,19.30,0,1,0
BAW Mendis (SL),2009-2014,21,21,471,78.3,3,526,35,6/8,15.02,6.70,13.45,1,1,0
Mustafizur Rahman (BAN),2016-2024,22,22,492,82.0,2,562,28,5/22,20.07,6.85,17.57,1,1,0
Umar Gul (PAK),2007-2014,24,24,496,82.4,0,604,35,5/6,17.25,7.30,14.17,1,1,0
A Zampa (AUS),2016-2026,25,25,560,93.2,0,609,44,5/19,13.84,6.52,12.72,3,1,0
SL Malinga (SL),2007-2014,31,31,616,102.4,0,763,38,5/31,20.07,7.43,16.21,0,1,0
