Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (IND),2012-2024,35,33,11,1292,89*,58.72,1003,128.81,0,15,2,111,35
RG Sharma (IND),2007-2024,47,44,9,1220,92,34.85,917,133.04,0,12,1,115,50
JC Buttler (ENG),2012-2026,43,42,10,1100,101*,34.37,763,144.16,1,5,3,102,45
DPMD Jayawardene (SL),2007-2014,31,31,5,1016,100,39.07,754,134.74,1,6,1,111,25
DA Warner (AUS),2009-2024,41,41,3,984,89*,25.89,733,134.24,0,8,2,103,40
CH Gayle (WI),2007-2021,33,31,3,965,117,34.46,676,142.75,2,7,1,78,63
TM Dilshan (SL),2007-2016,35,34,5,897,96*,30.93,723,124.06,0,6,5,101,20
Shakib Al Hasan (BAN),2007-2024,43,43,6,853,84,23.05,710,120.14,0,4,3,74,24
Q de Kock (SA),2014-2026,35,35,1,834,74,24.52,620,134.51,0,5,4,91,34
KS Williamson (NZ),2012-2024,29,27,4,727,85,31.60,646,112.53,0,3,1,71,14
SA Yadav (IND),2021-2026,27,26,6,722,84*,36.10,479,150.73,0,6,1,67,31
AB de Villiers (SA),2007-2016,30,29,5,717,79*,29.87,500,143.40,0,5,0,51,30
P Nissanka (SL),2021-2026,25,25,1,696,100*,29.00,565,123.18,1,6,4,62,20
AK Markram (SA),2021-2026,27,26,5,670,86*,31.90,485,138.14,0,6,2,68,23
KC Sangakkara (SL),2007-2014,31,30,4,661,68,25.42,589,112.22,0,4,2,63,11
Shoaib Malik (PAK),2007-2021,34,31,12,646,57,34.00,524,123.28,0,3,0,47,17
GJ Maxwell (AUS),2012-2026,35,30,6,640,74,26.66,451,141.90,0,3,1,53,32
Babar Azam (PAK),2021-2026,23,21,2,640,70,33.68,574,111.49,0,5,1,56,9
BB McCullum (NZ),2007-2014,25,25,3,637,123,28.95,496,128.42,1,2,2,67,19
MJ Guptill (NZ),2009-2021,28,27,2,617,93,24.68,540,114.25,0,2,0,61,23
HG Munsey (SCOT),2016-2026,22,22,2,599,84,29.95,484,123.76,0,3,1,78,18
DA Miller (SA),2014-2026,34,28,11,597,63,35.11,468,127.56,0,3,1,38,28
Yuvraj Singh (IND),2007-2016,31,28,3,593,70,23.72,460,128.91,0,4,0,38,33
KP Pietersen (ENG),2007-2010,15,15,2,580,79,44.61,391,148.33,0,4,0,60,17
Rahmanullah Gurbaz (AFG),2021-2026,20,20,0,575,84,28.75,433,132.79,0,4,3,36,36
HH Pandya (IND),2016-2026,33,25,5,574,63,28.70,386,148.70,0,4,1,40,34
AD Hales (ENG),2012-2022,20,20,2,568,116*,31.55,408,139.21,1,3,3,60,20
JP Duminy (SA),2007-2016,25,23,9,568,86*,40.57,438,129.68,0,2,2,37,23
Mohammad Rizwan (PAK),2021-2024,17,17,3,566,79*,40.42,501,112.97,0,5,0,43,18
MR Marsh (AUS),2016-2026,21,20,4,564,77*,35.25,403,139.95,0,4,0,54,27
LRPL Taylor (NZ),2007-2016,28,25,5,562,62*,28.10,440,127.72,0,3,1,32,23
EJG Morgan (ENG),2009-2021,29,27,6,552,71*,26.28,452,122.12,0,3,2,41,20
Shahid Afridi (PAK),2007-2016,34,32,3,546,54*,18.82,354,154.23,0,2,5,49,21
GD Phillips (NZ),2021-2026,25,18,2,545,104,34.06,387,140.82,1,2,0,44,23
SR Watson (AUS),2007-2016,24,22,3,537,81,28.26,381,140.94,0,5,1,41,31
DJ Bravo (WI),2007-2021,34,30,5,530,66*,21.20,418,126.79,0,2,3,35,25
MN Samuels (WI),2007-2016,20,19,2,530,85*,31.17,458,115.72,0,4,0,49,21
MS Dhoni (IND),2007-2016,33,29,14,529,45,35.26,427,123.88,0,0,0,36,16
G Gambhir (IND),2007-2012,21,20,0,524,75,26.20,444,118.01,0,4,2,61,6
Kamran Akmal (PAK),2007-2014,30,28,3,524,73,20.96,452,115.92,0,3,3,50,16
AD Mathews (SL),2009-2024,32,25,11,521,73*,37.21,404,128.96,0,2,0,32,20
Tamim Iqbal (BAN),2007-2016,23,23,2,514,103*,24.47,453,113.46,1,1,2,52,15
Mohammad Hafeez (PAK),2007-2021,30,27,3,511,64,21.29,457,111.81,0,1,0,56,11
RD Berrington (SCOT),2016-2026,22,20,4,505,70,31.56,389,129.82,0,2,3,30,21
