Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
SN Netravalkar,4.0,0,65,0,16.25,U.S.A.,v India,Wankhede,7 Feb 2026,T20I #3686
ST Jayasuriya,4.0,0,64,0,16.00,Sri Lanka,v Pakistan,Johannesburg,17 Sep 2007,T20I #35
CV Varun,4.0,0,64,1,16.00,India,v England,Wankhede,5 Mar 2026,T20I #3752
Mashrafe Mortaza,4.0,0,63,0,15.75,Bangladesh,v Pakistan,Mirpur,30 Mar 2014,T20I #392
R Ngarava,4.0,0,62,1,15.50,Zimbabwe,v India,Chennai,26 Feb 2026,T20I #3741
LN Onyango,4.0,0,61,0,15.25,Kenya,v Sri Lanka,Johannesburg,14 Sep 2007,T20I #27
JC Archer,4.0,0,61,1,15.25,England,v India,Wankhede,5 Mar 2026,T20I #3752
SCJ Broad,4.0,0,60,0,15.00,England,v India,Durban,19 Sep 2007,T20I #40
MA Starc,4.0,0,60,0,15.00,Australia,v New Zealand,Dubai (DICS),14 Nov 2021,T20I #1428
Sufyan Mehmood,4.0,0,60,1,15.00,Oman,v Sri Lanka,Pallekele,12 Feb 2026,T20I #3701
Naveen-ul-Haq,4.0,0,59,0,14.75,Afghanistan,v India,Abu Dhabi,3 Nov 2021,T20I #1390
BJ McCarthy,4.0,0,59,0,14.75,Ireland,v Scotland,Hobart,19 Oct 2022,T20I #1833
MR Adair,4.0,0,59,0,14.75,Ireland,v Australia,Brisbane,31 Oct 2022,T20I #1855
NN Odhiambo,4.0,0,57,1,14.25,Kenya,v Sri Lanka,Johannesburg,14 Sep 2007,T20I #27
Joginder Sharma,4.0,0,57,0,14.25,India,v England,Durban,19 Sep 2007,T20I #40
Shoriful Islam,4.0,0,57,0,14.25,Bangladesh,v India,Adelaide,2 Nov 2022,T20I #1860
B Lee,4.0,0,56,1,14.00,Australia,v West Indies,The Oval,6 Jun 2009,T20I #92
Izatullah Dawlatzai,3.0,0,56,2,18.66,Afghanistan,v England,Colombo (RPS),21 Sep 2012,T20I #268
MP Stoinis,4.0,0,56,2,14.00,Australia,v India,Gros Islet,24 Jun 2024,T20I #2721
LV van Beek,4.0,0,56,3,14.00,Netherlands,v India,Ahmedabad,18 Feb 2026,T20I #3723
Mohammad Ashraful,4.0,0,55,1,13.75,Bangladesh,v West Indies,Johannesburg,13 Sep 2007,T20I #24
Mohammad Sami,4.0,0,54,1,13.50,Pakistan,v Australia,Gros Islet,2 May 2010,T20I #156
SL Malinga,4.0,0,54,0,13.50,Sri Lanka,v West Indies,Colombo (RPS),7 Oct 2012,T20I #289
PJ Ongondo,4.0,0,53,0,13.25,Kenya,v Sri Lanka,Johannesburg,14 Sep 2007,T20I #27
AR Cusack,4.0,0,53,1,13.25,Ireland,v Zimbabwe,Sylhet,17 Mar 2014,T20I #368
Mohammad Sami,4.0,0,53,0,13.25,Pakistan,v Australia,Mohali,25 Mar 2016,T20I #548
CA Soper,4.0,0,53,0,13.25,P.N.G.,v Bangladesh,Al Amerat,21 Oct 2021,T20I #1334
PW Hasaranga,3.0,0,53,0,17.66,Sri Lanka,v Australia,Perth,25 Oct 2022,T20I #1845
M Jansen,2.5,0,53,0,18.70,South Africa,v New Zealand,Eden Gardens,4 Mar 2026,T20I #3751
