Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Shakib Al Hasan (BAN),2007-2024,43,41,879,146.3,0,1006,50,4/9,20.12,6.86,17.58,3,0
A Zampa (AUS),2016-2026,25,25,560,93.2,0,609,44,5/19,13.84,6.52,12.72,3,1
AU Rashid (ENG),2009-2026,38,38,822,137.0,1,984,44,4/2,22.36,7.18,18.68,2,0
Rashid Khan (AFG),2016-2026,27,27,620,103.2,0,658,43,4/9,15.30,6.36,14.41,3,0
JJ Bumrah (IND),2016-2026,26,26,578,96.2,3,546,40,4/15,13.65,5.66,14.45,1,0
PW Hasaranga (SL),2021-2026,20,20,458,76.2,1,459,40,3/8,11.47,6.01,11.45,0,0
Shahid Afridi (PAK),2007-2016,34,34,810,135.0,1,907,39,4/11,23.25,6.71,20.76,2,0
A Nortje (SA),2021-2026,21,21,479,79.5,0,456,38,4/7,12.00,5.71,12.60,3,0
SL Malinga (SL),2007-2014,31,31,616,102.4,0,763,38,5/31,20.07,7.43,16.21,0,1
Saeed Ajmal (PAK),2009-2014,23,23,536,89.2,1,607,36,4/19,16.86,6.79,14.88,3,0
TG Southee (NZ),2010-2024,25,25,553,92.1,3,645,36,3/4,17.91,6.99,15.36,0,0
Arshdeep Singh (IND),2022-2026,22,22,480,80.0,0,625,36,4/9,17.36,7.81,13.33,1,0
BAW Mendis (SL),2009-2014,21,21,471,78.3,3,526,35,6/8,15.02,6.70,13.45,1,1
Umar Gul (PAK),2007-2014,24,24,496,82.4,0,604,35,5/6,17.25,7.30,14.17,1,1
TA Boult (NZ),2014-2024,18,18,430,71.4,2,425,34,4/13,12.50,5.93,12.64,1,0
K Rabada (SA),2016-2026,29,29,626,104.2,2,843,33,3/18,25.54,8.07,18.96,0,0
HH Pandya (IND),2016-2026,33,30,564,94.0,3,811,33,3/20,24.57,8.62,17.09,0,0
R Ashwin (IND),2012-2022,24,24,510,85.0,0,552,32,4/11,17.25,6.49,15.93,1,0
MA Starc (AUS),2012-2024,25,25,582,97.0,1,814,32,3/20,25.43,8.39,18.18,0,0
Shaheen Shah Afridi (PAK),2021-2026,22,22,493,82.1,1,608,31,4/22,19.61,7.39,15.90,2,0
CJ Jordan (ENG),2014-2024,23,23,445,74.1,0,598,31,4/10,19.29,8.06,14.35,2,0
DW Steyn (SA),2009-2016,23,23,499,83.1,1,579,30,4/17,19.30,6.96,16.63,1,0
SCJ Broad (ENG),2007-2014,26,25,521,86.5,2,671,30,3/17,22.36,7.72,17.36,0,0
M Theekshana (SL),2021-2026,25,25,544,90.4,0,596,29,3/17,20.55,6.57,18.75,0,0
AD Russell (WI),2012-2024,29,25,436,72.4,0,597,29,3/31,20.58,8.21,15.03,0,0
Mustafizur Rahman (BAN),2016-2024,22,22,492,82.0,2,562,28,5/22,20.07,6.85,17.57,1,1
MJ Santner (NZ),2016-2026,29,28,611,101.5,0,653,27,4/11,24.18,6.41,22.62,1,0
Mohammad Nabi (AFG),2010-2026,34,32,546,91.0,1,650,27,4/7,24.07,7.14,20.22,2,0
IS Sodhi (NZ),2016-2026,21,20,424,70.4,0,507,27,3/18,18.77,7.17,15.70,0,0
DJ Bravo (WI),2007-2021,34,27,532,88.4,0,782,27,4/38,28.96,8.81,19.70,1,0
Taskin Ahmed (BAN),2014-2024,22,21,451,75.1,3,495,26,4/25,19.03,6.58,17.34,1,0
PA van Meekeren (NED),2016-2026,17,16,348,58.0,2,350,25,4/11,14.00,6.03,13.92,1,0
Shadab Khan (PAK),2021-2026,24,21,426,71.0,0,493,25,4/26,19.72,6.94,17.04,1,0
