Player,Series,Mat,Balls,Overs,Mdns,Inns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
Fazalhaq Farooqi (AFG),"ICC Men's T20 World Cup (in United States of America/West Indies), 2024",8,152,25.2,0,8,160,17,5/9,9.41,6.31,8.94,1,1,0
Arshdeep Singh (IND),"ICC Men's T20 World Cup (in United States of America/West Indies), 2024",8,180,30.0,0,8,215,17,4/9,12.64,7.16,10.58,1,0,0
PW Hasaranga (SL),"ICC Men's T20 World Cup (in Oman/United Arab Emirates), 2021/22",8,180,30.0,0,8,156,16,3/9,9.75,5.20,11.25,0,0,0
JJ Bumrah (IND),"ICC Men's T20 World Cup (in United States of America/West Indies), 2024",8,178,29.4,2,8,124,15,3/7,8.26,4.17,11.86,0,0,0
BAW Mendis (SL),"ICC World Twenty20 (in Sri Lanka), 2012/13",6,144,24.0,3,6,147,15,6/8,9.80,6.12,9.60,1,1,0
PW Hasaranga (SL),"ICC Men's T20 World Cup (in Australia), 2022/23",8,186,31.0,1,8,199,15,3/8,13.26,6.41,12.40,0,0,0
A Nortje (SA),"ICC Men's T20 World Cup (in United States of America/West Indies), 2024",9,210,35.0,0,9,201,15,4/7,13.40,5.74,14.00,1,0,0
JJ Bumrah (IND),"ICC Men's T20 World Cup (in India/Sri Lanka), 2025/26",8,168,28.0,0,8,174,14,4/15,12.42,6.21,12.00,1,0,0
Rashid Khan (AFG),"ICC Men's T20 World Cup (in United States of America/West Indies), 2024",8,174,29.0,0,8,179,14,4/17,12.78,6.17,12.42,2,0,0
DP Nannes (AUS),"ICC World Twenty20 (in West Indies), 2010",7,156,26.0,1,7,183,14,4/18,13.07,7.03,11.14,1,0,0
Rishad Hossain (BAN),"ICC Men's T20 World Cup (in United States of America/West Indies), 2024",7,150,25.0,0,7,194,14,3/22,13.85,7.76,10.71,0,0,0
CV Varun (IND),"ICC Men's T20 World Cup (in India/Sri Lanka), 2025/26",9,186,31.0,0,9,287,14,3/7,20.50,9.25,13.28,0,0,0
SC van Schalkwyk (USA),"ICC Men's T20 World Cup (in India/Sri Lanka), 2025/26",4,89,14.5,0,4,101,13,4/25,7.76,6.80,6.84,2,0,0
SM Curran (ENG),"ICC Men's T20 World Cup (in Australia), 2022/23",6,136,22.4,0,6,148,13,5/10,11.38,6.52,10.46,0,1,0
Umar Gul (PAK),"ICC World Twenty20 (in South Africa), 2007/08",7,166,27.4,0,7,155,13,4/25,11.92,5.60,12.76,1,0,0
A Zampa (AUS),"ICC Men's T20 World Cup (in Oman/United Arab Emirates), 2021/22",7,162,27.0,0,7,157,13,5/19,12.07,5.81,12.46,0,1,0
Umar Gul (PAK),"ICC World Twenty20 (in England), 2009",7,147,24.3,0,7,158,13,5/6,12.15,6.44,11.30,0,1,0
Naveen-ul-Haq (AFG),"ICC Men's T20 World Cup (in United States of America/West Indies), 2024",8,160,26.4,0,8,160,13,4/26,12.30,6.00,12.30,1,0,0
