Player,Overs,Mdns,Runs,Wkts,Econ,Team,Inns,Opposition,Ground,MatchDate,Test#
AY Patel,47.5,12,119,10,2.48,New Zealand,1,v India,Wankhede,3 Dec 2021,2438
Sajid Khan,15.0,4,42,8,2.80,Pakistan,2,v Bangladesh,Mirpur,4 Dec 2021,2439
Noman Ali,16.3,1,46,8,2.78,Pakistan,4,v England,Multan,15 Oct 2024,2554
NM Lyon,23.3,1,64,8,2.72,Australia,3,v India,Indore,1 Mar 2023,2496
M Jansen,6.5,1,13,7,1.90,South Africa,2,v Sri Lanka,Durban,27 Nov 2024,2563
MJ Henry,15.0,7,23,7,1.53,New Zealand,1,v South Africa,Christchurch,17 Feb 2022,2450
KA Maharaj,10.0,0,32,7,3.20,South Africa,4,v Bangladesh,Durban,31 Mar 2022,2460
JA Warrican,18.0,3,32,7,1.77,West Indies,3,v Pakistan,Multan,17 Jan 2025,2577
KA Maharaj,12.0,3,40,7,3.33,South Africa,4,v Bangladesh,Gqeberha,8 Apr 2022,2461
RA Jadeja,12.1,1,42,7,3.45,India,3,v Australia,Delhi,17 Feb 2023,2493
AAP Atkinson,12.0,5,45,7,3.75,England,1,v West Indies,Lord's,10 Jul 2024,2538
Shoriful Islam,15.0,3,48,7,3.20,Bangladesh,2,v Australia,Mackay,22 Aug 2026,2632
MJ Santner,19.3,1,53,7,2.71,New Zealand,2,v India,Pune,24 Oct 2024,2557
MA Starc,12.5,4,58,7,4.51,Australia,1,v England,Perth,21 Nov 2025,2608
Washington Sundar,23.1,4,59,7,2.54,India,1,v New Zealand,Pune,24 Oct 2024,2557
SN Thakur,17.5,3,61,7,3.42,India,2,v South Africa,Johannesburg,3 Jan 2022,2445
TW Hartley,26.2,5,62,7,2.35,England,4,v India,Hyderabad,25 Jan 2024,2525
MJ Henry,23.0,4,67,7,2.91,New Zealand,2,v Australia,Christchurch,8 Mar 2024,2535
S Joseph,11.5,0,68,7,5.74,West Indies,4,v Australia,Brisbane,25 Jan 2024,2524
