Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,MatchDate,Test#
AY Patel,73.5,15,225,14,3.04,New Zealand,v India,Wankhede,3 Dec 2021,2438
MJ Santner,48.3,3,157,13,3.23,New Zealand,v India,Pune,24 Oct 2024,2557
AAP Atkinson,26.0,7,106,12,4.07,England,v West Indies,Lord's,10 Jul 2024,2538
Sajid Khan,47.4,12,128,12,2.68,Pakistan,v Bangladesh,Mirpur,4 Dec 2021,2439
R Ashwin,46.0,13,131,12,2.84,India,v West Indies,Roseau,12 Jul 2023,2510
NGRP Jayasuriya,52.0,5,177,12,3.40,Sri Lanka,v Australia,Galle,8 Jul 2022,2471
AR Patel,36.4,6,70,11,1.90,India,v England,Ahmedabad,24 Feb 2021,2412
M Jansen,28.3,6,86,11,3.01,South Africa,v Sri Lanka,Durban,27 Nov 2024,2563
NM Lyon,34.5,3,99,11,2.84,Australia,v India,Indore,1 Mar 2023,2496
MJ Henry,42.1,9,109,11,2.58,New Zealand,v England,The Oval,17 Jun 2026,2622
Washington Sundar,42.1,4,115,11,2.72,India,v New Zealand,Pune,24 Oct 2024,2557
KA Jamieson,41.0,14,117,11,2.85,New Zealand,v Pakistan,Christchurch,3 Jan 2021,2400
RTM Mendis,59.2,14,136,11,2.29,Sri Lanka,v West Indies,Galle,29 Nov 2021,2437
Noman Ali,44.3,6,147,11,3.30,Pakistan,v England,Multan,15 Oct 2024,2554
AY Patel,35.5,4,160,11,4.46,New Zealand,v India,Wankhede,1 Nov 2024,2560
S Muthusamy,49.0,7,174,11,3.55,South Africa,v Pakistan,Lahore,12 Oct 2025,2602
P Jayawickrama,64.0,17,178,11,2.78,Sri Lanka,v Bangladesh,Pallekele,29 Apr 2021,2419
Abrar Ahmed,51.0,4,234,11,4.58,Pakistan,v England,Multan,9 Dec 2022,2480
MA Starc,20.0,9,51,10,2.55,Australia,v Bangladesh,Mackay,22 Aug 2026,2632
SCJ Broad,22.1,5,67,10,3.02,England,v West Indies,Manchester,24 Jul 2020,2390
SM Boland,36.5,13,76,10,2.06,Australia,v India,Sydney,3 Jan 2025,2575
Shaheen Shah Afridi,34.5,12,94,10,2.69,Pakistan,v West Indies,Kingston,20 Aug 2021,2431
PJ Cummins,38.0,3,97,10,2.55,Australia,v Pakistan,Melbourne,26 Dec 2023,2519
JA Warrican,38.5,6,101,10,2.60,West Indies,v Pakistan,Multan,17 Jan 2025,2577
BA Carse,38.1,5,106,10,2.77,England,v New Zealand,Christchurch,28 Nov 2024,2564
NM Lyon,35.1,9,108,10,3.07,Australia,v New Zealand,Wellington,29 Feb 2024,2533
RA Jadeja,33.1,3,110,10,3.31,India,v Australia,Delhi,17 Feb 2023,2493
MA Starc,24.5,5,113,10,4.55,Australia,v England,Perth,21 Nov 2025,2608
Hasan Ali,31.4,4,114,10,3.60,Pakistan,v South Africa,Rawalpindi,4 Feb 2021,2408
NM Lyon,47.3,14,118,10,2.48,Australia,v New Zealand,Sydney,3 Jan 2020,2378
RA Jadeja,35.5,4,120,10,3.34,India,v New Zealand,Wankhede,1 Nov 2024,2560
Noman Ali,36.1,3,121,10,3.34,Pakistan,v West Indies,Multan,25 Jan 2025,2578
