Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4w,5w,10w
S Mahmood (ENG),2022-2022,2,61.0,17,366,137,6,2/21,22.83,2.24,61,0,0,0
LA Dawson (ENG),2025-2025,1,62.0,12,372,140,1,1/45,140.00,2.25,372,0,0,0
VD Philander (SA),2019-2020,6,161.5,49,971,368,10,4/16,36.80,2.27,97.1,1,0,0
JA Duffy (NZ),2025-2025,3,154.3,44,927,355,23,5/34,15.43,2.29,40.3,1,3,0
C de Grandhomme (NZ),2019-2022,10,212.5,51,1277,496,13,3/78,38.15,2.33,98.2,0,0,0
JM Anderson (ENG),2019-2024,36,1141.5,329,6851,2763,116,6/40,23.81,2.41,59,4,5,0
Asif Afridi (PAK),2025-2025,1,38.3,6,231,94,6,6/79,15.66,2.44,38.5,0,1,0
KR Mayers (WI),2021-2023,16,243.0,73,1458,594,34,5/18,17.47,2.44,42.8,0,1,0
JD Unadkat (IND),2022-2023,3,53.0,13,318,130,3,2/50,43.33,2.45,106,0,0,0
AR Patel (IND),2021-2025,15,443.2,98,2660,1121,57,6/38,19.66,2.52,46.6,2,5,1
JA Raval (NZ),2019-2020,4,13.0,1,78,33,1,1/33,33.00,2.53,78,0,0,0
RAS Lakmal (SL),2019-2022,11,265.2,77,1592,679,24,5/47,28.29,2.55,66.3,2,1,0
DAJ Bracewell (NZ),2023-2023,1,30.0,10,180,77,2,1/19,38.50,2.56,90,0,0,0
JO Holder (WI),2019-2024,29,844.0,214,5064,2204,59,6/42,37.35,2.61,85.8,1,3,0
AC Agar (AUS),2023-2023,1,22.0,5,132,58,0,-,-,2.63,-,0,0,0
A Dananjaya (SL),2019-2019,1,62.0,7,372,164,6,5/80,27.33,2.64,62,0,1,0
JL Pattinson (AUS),2019-2020,4,114.0,26,684,302,11,3/34,27.45,2.64,62.1,0,0,0
Mohammad Abbas (PAK),2019-2026,19*,638.3,166,3831,1699,63,6/54,26.96,2.66,60.8,2,4,0
OE Robinson (ENG),2021-2026,21*,637.3,171,3825,1699,91,5/39,18.67,2.66,42,4,5,0
R de Swardt (SA),2024-2024,2,45.0,10,270,121,3,2/61,40.33,2.68,90,0,0,0
DN Wellalage (SL),2022-2022,1,13.0,1,78,35,0,-,-,2.69,-,0,0,0
RG Sharma (IND),2019-2024,40,8.1,2,49,22,0,-,-,2.69,-,0,0,0
JR Hazlewood (AUS),2019-2026,34,1023.4,257,6142,2820,139,6/89,20.28,2.75,44.1,7,8,0
SR Harmer (SA),2022-2025,9,331.0,70,1986,916,49,6/37,18.69,2.76,40.5,4,2,0
KA Jamieson (NZ),2020-2026,20,617.0,185,3702,1708,87,6/48,19.63,2.76,42.5,4,6,1
Babar Azam (PAK),2019-2026,43*,15.0,2,90,42,2,1/1,21.00,2.80,45,0,0,0
JJ Bumrah (IND),2019-2025,42,1269.1,301,7615,3558,185,6/27,19.23,2.80,41.1,7,13,0
NM Lyon (AUS),2019-2026,57,2202.0,424,13212,6190,228,8/64,27.14,2.81,57.9,13,10,3
DW Lawrence (ENG),2021-2026,15*,47.4,14,286,134,4,2/17,33.50,2.81,71.5,0,0,0
I Sharma (IND),2019-2021,15,327.2,79,1964,923,44,5/22,20.97,2.81,44.6,1,3,0
DJ Mitchell (NZ),2020-2026,32,83.1,21,499,235,4,1/7,58.75,2.82,124.7,0,0,0
R Ashwin (IND),2019-2024,41,1479.0,278,8874,4191,195,7/71,21.49,2.83,45.5,9,11,1
