Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,MatchDate,Test#
TG Southee,5.2,5,0,1,0.00,New Zealand,v Bangladesh,Mirpur,6 Dec 2023,2517
Faheem Ashraf,4.0,4,0,0,0.00,Pakistan,v Bangladesh,Mirpur,4 Dec 2021,2439
JM Anderson,4.0,3,1,0,0.25,England,v Australia,Birmingham,1 Aug 2019,2353
PWA Mulder,4.0,3,1,3,0.25,South Africa,v West Indies,Gros Islet,18 Jun 2021,2426
JNT Seales,15.5,10,5,4,0.31,West Indies,v Bangladesh,Kingston,30 Nov 2024,2565
JD Unadkat,3.0,2,1,0,0.33,India,v West Indies,Port of Spain,20 Jul 2023,2513
OE Robinson,5.0,3,2,1,0.40,England,v Pakistan,Multan,9 Dec 2022,2480
C de Grandhomme,5.0,3,3,1,0.60,New Zealand,v India,Christchurch,29 Feb 2020,2387
MR Marsh,3.0,2,2,0,0.66,Australia,v India,Melbourne,26 Dec 2024,2571
GF Linde,5.5,2,4,0,0.68,South Africa,v Pakistan,Rawalpindi,4 Feb 2021,2408
AY Patel,32.0,21,23,3,0.71,New Zealand,v West Indies,Mount Maunganui,18 Dec 2025,2614
JM Anderson,8.0,5,6,3,0.75,England,v India,Leeds,25 Aug 2021,2432
JO Holder,8.0,5,6,0,0.75,West Indies,v England,St George's,24 Mar 2022,2459
Shaheen Shah Afridi,4.0,3,3,1,0.75,Pakistan,v Bangladesh,Mirpur,4 Dec 2021,2439
C de Grandhomme,3.5,1,3,0,0.78,New Zealand,v England,Lord's,2 Jun 2022,2464
JM Anderson,10.0,6,8,1,0.80,England,v Australia,Adelaide,16 Dec 2021,2441
NM Lyon,10.0,7,8,1,0.80,Australia,v West Indies,Adelaide,8 Dec 2022,2479
TA Boult,5.0,3,4,0,0.80,New Zealand,v Bangladesh,Mount Maunganui,1 Jan 2022,2444
DJ Mitchell,5.0,1,4,0,0.80,New Zealand,v West Indies,Wellington,10 Dec 2025,2612
SCJ Broad,17.0,11,14,0,0.82,England,v Sri Lanka,Galle,14 Jan 2021,2403
