Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4w,5w,10w
Noman Ali (PAK),2021-2026,20,38,4624,770.4,119,2389,93,8/46,25.68,3.09,49.72,3,8,3
NM Lyon (AUS),2019-2026,57,101,13212,2202.0,424,6190,228,8/64,27.14,2.81,57.94,13,10,3
Sajid Khan (PAK),2021-2026,14,27,3746,624.2,78,2104,75,8/42,28.05,3.36,49.94,6,4,2
AY Patel (NZ),2019-2025,16,29,3809,634.5,111,2098,74,10/119,28.35,3.30,51.47,2,6,2
RA Jadeja (IND),2019-2026,50,93,9376,1562.4,299,4460,164,7/42,27.19,2.85,57.17,10,6,2
MA Starc (AUS),2019-2026,56,109,9781,1630.1,289,5675,234,7/58,24.25,3.48,41.79,11,8,2
MJ Suthar (IND),2026-2026,2,4,650,108.2,11,337,16,6/55,21.06,3.11,40.62,1,1,1
S Muthusamy (SA),2019-2025,7,12,765,127.3,16,470,19,6/117,24.73,3.68,40.26,1,2,1
P Jayawickrama (SL),2021-2022,5,10,1320,220.0,50,642,25,6/92,25.68,2.91,52.80,2,2,1
Akash Deep (IND),2024-2025,10,18,1536,256.0,40,1002,28,6/99,35.78,3.91,54.85,1,1,1
MJ Santner (NZ),2019-2026,11,21,2166,361.0,52,1146,38,7/53,30.15,3.17,57.00,1,2,1
Washington Sundar (IND),2021-2025,17,29,2188,364.4,41,1187,36,7/59,32.97,3.25,60.77,3,1,1
Abrar Ahmed (PAK),2022-2025,10,19,2631,438.3,59,1580,46,7/114,34.34,3.60,57.19,5,2,1
AR Patel (IND),2021-2025,15,29,2660,443.2,98,1121,57,6/38,19.66,2.52,46.66,2,5,1
BA Carse (ENG),2024-2026,14,27,2699,449.5,58,1751,58,6/42,30.18,3.89,46.53,4,1,1
Hasan Ali (PAK),2021-2026,16,31,2786,464.2,89,1451,43,5/51,33.74,3.12,64.79,0,3,1
SM Boland (AUS),2021-2026,19,37,3191,531.5,122,1524,82,6/7,18.58,2.86,38.91,3,2,1
AAP Atkinson (ENG),2024-2026,20*,39,3341,556.5,104,2029,80,7/45,25.36,3.64,41.76,2,5,1
