Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4w,5w,10w
R Ashwin (IND),2019-2024,41,78,8874,1479.0,278,4191,195,7/71,21.49,2.83,45.50,9,11,1
PJ Cummins (AUS),2019-2026,54,100,10272,1712.0,373,4986,228,6/28,21.86,2.91,45.05,10,10,1
NM Lyon (AUS),2019-2026,57,101,13212,2202.0,424,6190,228,8/64,27.14,2.81,57.94,13,10,3
NGRP Jayasuriya (SL),2022-2026,22,40,6894,1149.0,154,3744,109,6/42,34.34,3.25,63.24,4,9,1
Taijul Islam (BAN),2019-2026,29,50,7836,1306.0,241,3928,119,7/116,33.00,3.00,65.84,6,9,1
Noman Ali (PAK),2021-2026,20,38,4624,770.4,119,2389,93,8/46,25.68,3.09,49.72,3,8,3
JR Hazlewood (AUS),2019-2026,34,65,6142,1023.4,257,2820,139,6/89,20.28,2.75,44.18,7,8,0
K Rabada (SA),2019-2025,36,65,6606,1101.0,206,3660,164,6/46,22.31,3.32,40.28,7,8,0
MA Starc (AUS),2019-2026,56,109,9781,1630.1,289,5675,234,7/58,24.25,3.48,41.79,11,8,2
KA Maharaj (SA),2019-2025,36,57,7036,1172.4,215,3555,120,7/32,29.62,3.03,58.63,2,7,0
KA Jamieson (NZ),2020-2026,20,38,3702,617.0,185,1708,87,6/48,19.63,2.76,42.55,4,6,1
AY Patel (NZ),2019-2025,16,29,3809,634.5,111,2098,74,10/119,28.35,3.30,51.47,2,6,2
MJ Henry (NZ),2020-2026,20,40,4302,717.0,163,2167,96,7/23,22.57,3.02,44.81,3,6,1
