Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root (ENG),2019-2026,80*,146,12,6753,262,50.39,11294,59.79,23,24,10,702,18
SPD Smith (AUS),2019-2026,61,106,12,4721,211,50.22,9066,52.07,14,21,7,506,32
M Labuschagne (AUS),2019-2026,60,109,9,4520,215,45.20,8643,52.29,11,24,3,510,14
TM Head (AUS),2019-2026,59,100,5,3990,175,42.00,5378,74.19,11,15,6,496,40
BA Stokes (ENG),2019-2026,64,117,7,3857,176,35.06,6550,58.88,8,19,6,395,88
Babar Azam (PAK),2019-2026,43*,80,6,3534,196,47.75,6223,56.78,8,23,1,422,21
UT Khawaja (AUS),2019-2026,47,88,8,3464,232,43.30,7234,47.88,8,14,6,369,13
Z Crawley (ENG),2020-2026,57,105,1,3314,267,31.86,5088,65.13,4,20,11,458,13
HC Brook (ENG),2022-2026,37*,64,1,3214,317,51.01,3827,83.98,9,17,4,342,44
KS Williamson (NZ),2019-2026,32,58,6,3025,251,58.17,5654,53.50,11,7,4,361,14
OJ Pope (ENG),2020-2025,54,97,4,2993,196,32.18,4752,62.98,7,15,6,346,10
TWM Latham (NZ),2019-2026,45,83,2,2979,252,36.77,5945,50.10,7,15,7,330,9
RR Pant (IND),2019-2026,42,74,4,2948,146,42.11,3959,74.46,6,18,2,320,82
Shubman Gill (IND),2020-2026,42,76,7,2917,269,42.27,4779,61.03,10,9,5,327,46
DM de Silva (SL),2019-2026,39,70,6,2807,166,43.85,4745,59.15,9,14,5,336,28
BM Duckett (ENG),2022-2026,41*,76,2,2781,153,37.58,3240,85.83,5,14,5,365,13
RG Sharma (IND),2019-2024,40,69,3,2716,212,41.15,4657,58.32,9,8,2,322,56
RA Jadeja (IND),2019-2026,50,76,12,2675,175*,41.79,5217,51.27,5,18,4,254,42
FDM Karunaratne (SL),2019-2025,35,66,1,2642,244,40.64,5030,52.52,6,16,1,302,4
V Kohli (IND),2019-2025,46,79,5,2617,254*,35.36,5059,51.72,5,11,7,296,11
Mohammad Rizwan (PAK),2019-2026,44,76,8,2603,171*,38.27,4761,54.67,3,14,3,267,18
YBK Jaiswal (IND),2023-2026,30,56,2,2588,214*,47.92,3896,66.42,7,13,7,326,45
LD Chandimal (SL),2019-2026,35,63,5,2513,206*,43.32,4835,51.97,3,19,4,259,22
DA Warner (AUS),2019-2024,38,68,3,2423,335*,37.27,3977,60.92,5,8,7,271,14
AT Carey (AUS),2021-2026,50,76,8,2387,156,35.10,3704,64.44,3,13,4,255,17
KL Rahul (IND),2019-2026,35,65,3,2283,137,36.82,4783,47.73,6,10,3,274,20
KC Brathwaite (WI),2019-2025,41,82,3,2268,160,28.70,5681,39.92,3,14,7,237,7
JM Bairstow (ENG),2019-2024,35,67,6,2236,162,36.65,3377,66.21,6,6,7,272,32
Litton Das (BAN),2019-2026,34,61,1,2215,141,36.91,3752,59.03,5,12,4,260,15
AD Mathews (SL),2019-2025,34,62,5,2142,199,37.57,4679,45.77,4,11,3,198,23
Shan Masood (PAK),2019-2026,35*,66,1,2133,156,32.81,3751,56.86,6,10,7,211,19
Mushfiqur Rahim (BAN),2019-2026,29,54,5,2128,191,43.42,4454,47.77,5,8,3,229,5
DJ Mitchell (NZ),2020-2026,32,54,5,2127,190,43.40,4036,52.70,6,12,1,210,38
T Bavuma (SA),2019-2025,30,55,7,2094,172,43.62,4214,49.69,3,13,5,218,13
DP Conway (NZ),2021-2026,29,55,2,2066,227,38.98,3780,54.65,6,9,4,268,15
Saud Shakeel (PAK),2022-2026,26*,50,3,2006,208*,42.68,3967,50.56,4,11,4,211,4
D Elgar (SA),2019-2024,30,56,3,1935,185,36.50,3657,52.91,3,10,5,270,5
C Green (AUS),2020-2026,39,62,6,1920,174*,34.28,3831,50.11,3,8,5,210,16
Najmul Hossain Shanto (BAN),2020-2026,33,63,1,1901,163,30.66,3749,50.70,5,5,7,209,23
Abdullah Shafique (PAK),2021-2026,28*,54,5,1878,201,38.32,4207,44.63,6,7,8,181,23
TA Blundell (NZ),2019-2026,40,69,6,1857,121,29.47,3562,52.13,3,11,6,220,14
AK Markram (SA),2019-2025,33,61,2,1834,136,31.08,3294,55.67,4,7,4,261,10
Mominul Haque (BAN),2019-2026,35,68,5,1790,127,28.41,3706,48.30,3,9,13,212,7
CA Pujara (IND),2019-2023,35,62,3,1769,102*,29.98,4535,39.00,1,15,6,225,5
Salman Agha (PAK),2022-2026,28,53,6,1708,132*,36.34,2780,61.43,3,12,4,185,17
AM Rahane (IND),2019-2023,29,49,3,1589,115,34.54,3369,47.16,3,9,4,189,9
BKG Mendis (SL),2019-2026,32,58,2,1584,106*,28.28,2671,59.30,1,13,9,192,17
R Ravindra (NZ),2021-2026,21,41,4,1577,240,42.62,2558,61.64,3,7,2,184,18
