Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,MatchDate,Test#
Zahid Mahmood,33.0,1,235,4,7.12,Pakistan,v England,Rawalpindi,1 Dec 2022,2478
GS Dinusha,56.0,1,234,2,4.17,Sri Lanka,v West Indies,North Sound,25 Jun 2026,2624
Yasir Shah,48.4,1,205,4,4.21,Pakistan,v Australia,Brisbane,21 Nov 2019,2368
Abrar Ahmed,67.5,8,205,5,3.02,Pakistan,v New Zealand,Karachi,26 Dec 2022,2486
Taijul Islam,52.2,5,198,5,3.78,Bangladesh,v South Africa,Chattogram,29 Oct 2024,2559
Yasir Shah,32.0,1,197,0,6.15,Pakistan,v Australia,Adelaide,29 Nov 2019,2372
KA Maharaj,50.0,10,196,1,3.92,South Africa,v India,Pune,10 Oct 2019,2364
KTH Ratnayake,49.2,3,196,3,3.97,Sri Lanka,v Bangladesh,Galle,17 Jun 2025,2586
NM Lyon,64.0,5,194,2,3.03,Australia,v Sri Lanka,Galle,8 Jul 2022,2471
NGRP Jayasuriya,53.0,11,194,2,3.66,Sri Lanka,v Pakistan,Colombo (SSC),24 Jul 2023,2514
L Embuldeniya,50.0,4,193,1,3.86,Sri Lanka,v Pakistan,Karachi,19 Dec 2019,2375
NGRP Jayasuriya,60.0,8,193,3,3.21,Sri Lanka,v Australia,Galle,29 Jan 2025,2579
MJ Leach,49.0,7,190,2,3.87,England,v Pakistan,Rawalpindi,1 Dec 2022,2478
KA Maharaj,55.0,6,189,3,3.43,South Africa,v India,Visakhapatnam,2 Oct 2019,2363
KN Peiris,41.0,1,189,0,4.60,Sri Lanka,v Australia,Galle,29 Jan 2025,2579
L Embuldeniya,46.0,3,188,2,4.08,Sri Lanka,v India,Mohali,4 Mar 2022,2452
Noman Ali,63.0,5,185,3,2.93,Pakistan,v New Zealand,Karachi,26 Dec 2022,2486
JDF Vandersay,38.0,0,182,3,4.78,Sri Lanka,v Australia,Galle,29 Jan 2025,2579
KA Maharaj,58.0,15,180,5,3.10,South Africa,v England,Gqeberha,16 Jan 2020,2380
L Embuldeniya,45.0,4,176,3,3.91,Sri Lanka,v England,Galle,14 Jan 2021,2403
