Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4w,5w
MA Starc (AUS),2019-2026,56,109,9781,1630.1,289,5675,234,7/58,24.25,3.48,41.79,11,8
PJ Cummins (AUS),2019-2026,54,100,10272,1712.0,373,4986,228,6/28,21.86,2.91,45.05,10,10
NM Lyon (AUS),2019-2026,57,101,13212,2202.0,424,6190,228,8/64,27.14,2.81,57.94,13,10
R Ashwin (IND),2019-2024,41,78,8874,1479.0,278,4191,195,7/71,21.49,2.83,45.50,9,11
JJ Bumrah (IND),2019-2025,42,79,7615,1269.1,301,3558,185,6/27,19.23,2.80,41.16,7,13
K Rabada (SA),2019-2025,36,65,6606,1101.0,206,3660,164,6/46,22.31,3.32,40.28,7,8
RA Jadeja (IND),2019-2026,50,93,9376,1562.4,299,4460,164,7/42,27.19,2.85,57.17,10,6
Mohammed Siraj (IND),2020-2026,47,88,7271,1211.5,218,4227,143,6/15,29.55,3.48,50.84,8,5
JR Hazlewood (AUS),2019-2026,34,65,6142,1023.4,257,2820,139,6/89,20.28,2.75,44.18,7,8
SCJ Broad (ENG),2019-2023,33,63,6372,1062.0,238,3229,134,6/31,24.09,3.04,47.55,7,3
TG Southee (NZ),2019-2024,37,73,7760,1293.2,307,3878,127,5/32,30.53,2.99,61.10,6,6
KA Maharaj (SA),2019-2025,36,57,7036,1172.4,215,3555,120,7/32,29.62,3.03,58.63,2,7
KAJ Roach (WI),2019-2026,36,67,6155,1025.5,220,3103,119,5/47,26.07,3.02,51.72,4,3
BA Stokes (ENG),2019-2026,64,86,6317,1052.5,165,3480,119,5/23,29.24,3.30,53.08,5,2
Taijul Islam (BAN),2019-2026,29,50,7836,1306.0,241,3928,119,7/116,33.00,3.00,65.84,6,9
JM Anderson (ENG),2019-2024,36,65,6851,1141.5,329,2763,116,6/40,23.81,2.41,59.06,4,5
JNT Seales (WI),2021-2026,30,57,5067,844.3,161,2843,110,6/61,25.84,3.36,46.06,4,4
CR Woakes (ENG),2019-2025,34,66,6261,1043.3,233,3168,110,5/50,28.80,3.03,56.91,3,2
NGRP Jayasuriya (SL),2022-2026,22,40,6894,1149.0,154,3744,109,6/42,34.34,3.25,63.24,4,9
MJ Leach (ENG),2019-2024,30,51,7091,1181.5,241,3690,106,5/66,34.81,3.12,66.89,10,3
Shaheen Shah Afridi (PAK),2019-2026,29,49,5704,950.4,190,3004,104,6/51,28.88,3.15,54.84,10,3
Mehidy Hasan Miraz (BAN),2019-2026,33,55,7064,1177.2,184,3646,102,5/61,35.74,3.09,69.25,7,4
AS Joseph (WI),2020-2026,31,58,5217,869.3,114,3396,100,5/27,33.96,3.90,52.17,3,2
MJ Henry (NZ),2020-2026,20,40,4302,717.0,163,2167,96,7/23,22.57,3.02,44.81,3,6
Noman Ali (PAK),2021-2026,20,38,4624,770.4,119,2389,93,8/46,25.68,3.09,49.72,3,8
OE Robinson (ENG),2021-2026,21*,39,3825,637.3,171,1699,91,5/39,18.67,2.66,42.03,4,5
M Jansen (SA),2021-2025,21,38,3408,568.0,112,1880,89,7/13,21.12,3.30,38.29,5,4
KA Jamieson (NZ),2020-2026,20,38,3702,617.0,185,1708,87,6/48,19.63,2.76,42.55,4,6
AM Fernando (SL),2021-2026,25,41,4032,672.0,91,2375,86,6/51,27.61,3.53,46.88,7,3
