rank,player,team,span,mat,inns,no,runs,hs,ave,bf,sr,100,50,0,4s,6s,name_confidence
1,JE Root,ENG,2023-2024,22,40,4,1968,262,54.66,3006,65.46,7,7,1,186,9,confirmed
2,Yashasvi Jaiswal,IND,2023-2025,19,36,2,1798,214*,52.88,2738,65.66,4,10,3,207,39,confirmed
3,Ben Duckett,ENG,2023-2024,22,41,1,1470,153,36.75,1743,84.33,2,8,2,187,7,confirmed
4,Harry Brook,ENG,2023-2024,17,29,0,1463,317,50.44,1755,83.36,4,7,1,144,17,confirmed
5,Usman Khawaja,AUS,2023-2025,20,39,3,1428,232,39.66,3211,44.47,2,6,3,149,5,confirmed
6,(unidentified),,2023-2025,20,37,3,1403,141,41.26,2686,52.23,5,5,2,144,11,unverified
7,(unidentified),,2023-2025,20,36,1,1197,152,34.20,1483,80.71,3,5,4,153,13,unverified
8,(unidentified),,2023-2024,19,34,0,1175,189,34.55,1509,77.86,1,8,3,152,10,unverified
9,(unidentified),,2023-2024,11,22,1,1152,156,54.85,2128,54.13,5,4,1,134,6,unverified
10,Kamindu Mendis,SL,2024-2025,11,20,2,1123,182*,62.38,1702,65.98,5,3,0,116,23,confirmed
11,(unidentified),,2023-2024,19,34,0,1084,196,31.88,1576,68.78,3,4,3,128,5,unverified
12,(unidentified),,2023-2025,14,26,1,1078,208*,43.12,1953,55.19,3,4,2,93,1,unverified
13,(unidentified),,2023-2025,13,24,0,1065,122,44.37,1684,63.24,3,8,2,129,13,unverified
14,(unidentified),,2023-2025,20,32,3,1020,156,35.17,1580,64.55,1,5,0,109,9,unverified
15,(unidentified),,2023-2024,18,32,2,1007,155,33.56,1542,65.30,1,7,1,93,24,unverified
16,(unidentified),,2024-2024,12,24,1,984,240,42.78,1636,60.14,2,4,1,103,11,unverified
17,(unidentified),,2023-2025,20,38,3,974,111,27.82,2135,45.62,1,8,1,108,2,unverified
18,(unidentified),,2023-2025,16,29,3,972,119*,37.38,1581,61.48,3,3,3,102,18,unverified
19,(unidentified),,2023-2025,12,22,2,900,171*,45.00,1514,59.44,1,4,1,76,10,unverified
20,(unidentified),,2023-2025,14,27,1,880,151,33.84,1302,67.58,2,5,1,83,8,unverified
