rank,player,team,span,mat,inns,overs,mdns,runs,wkts,bbi,ave,econ,sr,name_confidence
1,PJ Cummins,AUS,2023-2025,18,35,563.5,76,1879,80,6/28,23.48,3.33,42.28,confirmed
2,JJ Bumrah,IND,2023-2025,15,28,393.4,91,1162,77,6/45,15.09,2.95,30.67,confirmed
3,MA Starc,AUS,2023-2025,19,37,538.0,81,2071,71,6/48,26.89,3.84,41.92,confirmed_crossref
4,NM Lyon,AUS,2023-2025,17,30,546.5,76,1662,66,6/65,25.18,3.03,49.71,confirmed
5,R Ashwin,IND,2023-2024,14,26,445.3,61,1547,63,7/71,24.55,3.47,42.42,confirmed
6,(unidentified),,2023-2025,14,26,393.2,88,1207,59,5/31,20.45,3.06,40.00,unverified
7,(unidentified),,2023-2025,12,22,367.1,79,2131,58,6/42,36.74,3.48,63.29,unverified
8,(unidentified),,2023-2025,11,21,330.3,64,1049,56,6/46,18.73,3.17,35.41,unverified
9,(unidentified),,2023-2025,15,26,418.1,70,1289,55,5/41,23.43,3.08,45.61,unverified
10,(unidentified),,2024-2024,11,21,308.4,52,1152,52,7/45,22.15,3.73,35.61,unverified
