Tournament,Year,Group,Team,Player
T20 World Cup,2026,Group A,India,Suryakumar Yadav (c)
T20 World Cup,2026,Group A,India,Abhishek Sharma
T20 World Cup,2026,Group A,India,Tilak Varma
T20 World Cup,2026,Group A,India,Sanju Samson
T20 World Cup,2026,Group A,India,Shivam Dube
T20 World Cup,2026,Group A,India,Ishan Kishan
T20 World Cup,2026,Group A,India,Hardik Pandya
T20 World Cup,2026,Group A,India,Arshdeep Singh
T20 World Cup,2026,Group A,India,Jasprit Bumrah
T20 World Cup,2026,Group A,India,Harshit Rana
T20 World Cup,2026,Group A,India,Varun Chakaravarthy
T20 World Cup,2026,Group A,India,Kuldeep Yadav
T20 World Cup,2026,Group A,India,Axar Patel
T20 World Cup,2026,Group A,India,Washington Sundar
T20 World Cup,2026,Group A,India,Rinku Singh
T20 World Cup,2026,Group A,USA,Monank Patel (c)
T20 World Cup,2026,Group A,USA,Ehsan Adil
T20 World Cup,2026,Group A,USA,Andries Gous
T20 World Cup,2026,Group A,USA,Shehan Jayasuriya
T20 World Cup,2026,Group A,USA,Milind Kumar
T20 World Cup,2026,Group A,USA,Shayan Jahangir
T20 World Cup,2026,Group A,USA,Saiteja Mukkamala
T20 World Cup,2026,Group A,USA,Sanjay Krishnamurthi
T20 World Cup,2026,Group A,USA,Harmeet Singh
T20 World Cup,2026,Group A,USA,Nosthush Kenjige
T20 World Cup,2026,Group A,USA,Shadley Van Schalkwyk
T20 World Cup,2026,Group A,USA,Saurabh Netravalkar
T20 World Cup,2026,Group A,USA,Ali Khan
T20 World Cup,2026,Group A,USA,Mohammad Mohsin
T20 World Cup,2026,Group A,USA,Shubham Ranjane
T20 World Cup,2026,Group A,Namibia,Gerhard Erasmus (c)
T20 World Cup,2026,Group A,Namibia,Zane Green
T20 World Cup,2026,Group A,Namibia,Bernard Scholtz
T20 World Cup,2026,Group A,Namibia,Ruben Trumpelmann
T20 World Cup,2026,Group A,Namibia,JJ Smit
T20 World Cup,2026,Group A,Namibia,Jan Frylinck
T20 World Cup,2026,Group A,Namibia,Louren Steenkamp
T20 World Cup,2026,Group A,Namibia,Malan Kruger
T20 World Cup,2026,Group A,Namibia,Nicol Loftie-Eaton
T20 World Cup,2026,Group A,Namibia,Jack Brassell
T20 World Cup,2026,Group A,Namibia,Alex Volschenk
T20 World Cup,2026,Group A,Namibia,JC Balt
T20 World Cup,2026,Group A,Namibia,Dylan Leicher
T20 World Cup,2026,Group A,Namibia,WP Myburgh
T20 World Cup,2026,Group A,Namibia,Max Heingo
T20 World Cup,2026,Group A,Netherlands,Scott Edwards (c)
T20 World Cup,2026,Group A,Netherlands,Colin Ackermann
T20 World Cup,2026,Group A,Netherlands,Noah Croes
T20 World Cup,2026,Group A,Netherlands,Bas de Leede
T20 World Cup,2026,Group A,Netherlands,Aryan Dutt
T20 World Cup,2026,Group A,Netherlands,Fred Klaassen
T20 World Cup,2026,Group A,Netherlands,Kyle Klein
T20 World Cup,2026,Group A,Netherlands,Michael Levitt
T20 World Cup,2026,Group A,Netherlands,Zach Lion-Cachet
T20 World Cup,2026,Group A,Netherlands,Max O'Dowd
T20 World Cup,2026,Group A,Netherlands,Logan van Beek
T20 World Cup,2026,Group A,Netherlands,Timm van der Gugten
T20 World Cup,2026,Group A,Netherlands,Roelof van der Merwe
T20 World Cup,2026,Group A,Netherlands,Paul van Meekeren
T20 World Cup,2026,Group A,Netherlands,Saqib Zulfiqar
T20 World Cup,2026,Group A,Pakistan,Salman Agha (c)
T20 World Cup,2026,Group A,Pakistan,Abrar Ahmed
T20 World Cup,2026,Group A,Pakistan,Babar Azam
T20 World Cup,2026,Group A,Pakistan,Faheem Ashraf
T20 World Cup,2026,Group A,Pakistan,Fakhar Zaman
T20 World Cup,2026,Group A,Pakistan,Khawaja Nafay
T20 World Cup,2026,Group A,Pakistan,Mohammad Nawaz
T20 World Cup,2026,Group A,Pakistan,Salman Mirza
T20 World Cup,2026,Group A,Pakistan,Naseem Shah
T20 World Cup,2026,Group A,Pakistan,Sahibzada Farhan
T20 World Cup,2026,Group A,Pakistan,Saim Ayub
T20 World Cup,2026,Group A,Pakistan,Shaheen Afridi
T20 World Cup,2026,Group A,Pakistan,Shadab Khan
T20 World Cup,2026,Group A,Pakistan,Usman Khan
T20 World Cup,2026,Group A,Pakistan,Usman Tariq
T20 World Cup,2026,Group B,Australia,Mitchell Marsh (c)
T20 World Cup,2026,Group B,Australia,Xavier Bartlett
T20 World Cup,2026,Group B,Australia,Cooper Connolly
T20 World Cup,2026,Group B,Australia,Tim David
T20 World Cup,2026,Group B,Australia,Ben Dwarshuis
T20 World Cup,2026,Group B,Australia,Cameron Green
T20 World Cup,2026,Group B,Australia,Nathan Ellis
T20 World Cup,2026,Group B,Australia,Travis Head
T20 World Cup,2026,Group B,Australia,Josh Inglis
T20 World Cup,2026,Group B,Australia,Matthew Kuhnemann
T20 World Cup,2026,Group B,Australia,Glenn Maxwell
T20 World Cup,2026,Group B,Australia,Matthew Renshaw
T20 World Cup,2026,Group B,Australia,Marcus Stoinis
T20 World Cup,2026,Group B,Australia,Adam Zampa
T20 World Cup,2026,Group B,Australia,Steve Smith
T20 World Cup,2026,Group B,Sri Lanka,Dasun Shanaka (c)
T20 World Cup,2026,Group B,Sri Lanka,Pathum Nissanka
T20 World Cup,2026,Group B,Sri Lanka,Kamil Mishara
T20 World Cup,2026,Group B,Sri Lanka,Kusal Mendis
T20 World Cup,2026,Group B,Sri Lanka,Kamindu Mendis
T20 World Cup,2026,Group B,Sri Lanka,Kusal Janith Perera
T20 World Cup,2026,Group B,Sri Lanka,Charith Asalanka
T20 World Cup,2026,Group B,Sri Lanka,Janith Liyanage
T20 World Cup,2026,Group B,Sri Lanka,Pavan Rathnayake
T20 World Cup,2026,Group B,Sri Lanka,Dushan Hemantha
T20 World Cup,2026,Group B,Sri Lanka,Dunith Wellalage
T20 World Cup,2026,Group B,Sri Lanka,Maheesh Theekshana
T20 World Cup,2026,Group B,Sri Lanka,Dushmantha Chameera
T20 World Cup,2026,Group B,Sri Lanka,Matheesha Pathirana
T20 World Cup,2026,Group B,Sri Lanka,Eshan Malinga
T20 World Cup,2026,Group B,Zimbabwe,Sikandar Raza (c)
T20 World Cup,2026,Group B,Zimbabwe,Brian Bennett
T20 World Cup,2026,Group B,Zimbabwe,Ryan Burl
T20 World Cup,2026,Group B,Zimbabwe,Graeme Cremer
T20 World Cup,2026,Group B,Zimbabwe,Ben Curran
T20 World Cup,2026,Group B,Zimbabwe,Bradley Evans
T20 World Cup,2026,Group B,Zimbabwe,Clive Madande
T20 World Cup,2026,Group B,Zimbabwe,Tinotenda Maposa
T20 World Cup,2026,Group B,Zimbabwe,Tadiwanashe Marumani
T20 World Cup,2026,Group B,Zimbabwe,Wellington Masakadza
T20 World Cup,2026,Group B,Zimbabwe,Tony Munyonga
T20 World Cup,2026,Group B,Zimbabwe,Tashinga Musekiwa
T20 World Cup,2026,Group B,Zimbabwe,Blessing Muzarabani
T20 World Cup,2026,Group B,Zimbabwe,Dion Myers
T20 World Cup,2026,Group B,Zimbabwe,Richard Ngarava
T20 World Cup,2026,Group B,Ireland,Mark Adair
T20 World Cup,2026,Group B,Ireland,Ross Adair
T20 World Cup,2026,Group B,Ireland,Ben Calitz
T20 World Cup,2026,Group B,Ireland,Curtis Campher
T20 World Cup,2026,Group B,Ireland,Gareth Delany
T20 World Cup,2026,Group B,Ireland,George Dockrell
T20 World Cup,2026,Group B,Ireland,Matthew Humphreys
T20 World Cup,2026,Group B,Ireland,Josh Little
T20 World Cup,2026,Group B,Ireland,Barry McCarthy
T20 World Cup,2026,Group B,Ireland,Harry Tector
T20 World Cup,2026,Group B,Ireland,Tim Tector
T20 World Cup,2026,Group B,Ireland,Lorcan Tucker
T20 World Cup,2026,Group B,Ireland,Sam Topping
T20 World Cup,2026,Group B,Ireland,Ben White
T20 World Cup,2026,Group B,Ireland,Craig Young
T20 World Cup,2026,Group B,Oman,Jatinder Singh (c)
T20 World Cup,2026,Group B,Oman,Vinayak Shukla
T20 World Cup,2026,Group B,Oman,Mohammad Nadeem
T20 World Cup,2026,Group B,Oman,Shakeel Ahmad
T20 World Cup,2026,Group B,Oman,Hammad Mirza
T20 World Cup,2026,Group B,Oman,Wasim Ali
T20 World Cup,2026,Group B,Oman,Karan Sonavale
T20 World Cup,2026,Group B,Oman,Shah Faisal
T20 World Cup,2026,Group B,Oman,Nadeem Khan
T20 World Cup,2026,Group B,Oman,Sufyan Mehmood
T20 World Cup,2026,Group B,Oman,Jay Odedra
T20 World Cup,2026,Group B,Oman,Shafiq Jan
T20 World Cup,2026,Group B,Oman,Ashish Odedara
T20 World Cup,2026,Group B,Oman,Jiten Ramanandi
T20 World Cup,2026,Group B,Oman,Aamir Kaleem
T20 World Cup,2026,Group C,England,Harry Brook (c)
T20 World Cup,2026,Group C,England,Rehan Ahmed
T20 World Cup,2026,Group C,England,Jofra Archer
T20 World Cup,2026,Group C,England,Tom Banton
T20 World Cup,2026,Group C,England,Jacob Bethell
T20 World Cup,2026,Group C,England,Jos Buttler
T20 World Cup,2026,Group C,England,Sam Curran
T20 World Cup,2026,Group C,England,Liam Dawson
T20 World Cup,2026,Group C,England,Ben Duckett
T20 World Cup,2026,Group C,England,Will Jacks
T20 World Cup,2026,Group C,England,Jamie Overton
T20 World Cup,2026,Group C,England,Adil Rashid
T20 World Cup,2026,Group C,England,Phil Salt
T20 World Cup,2026,Group C,England,Josh Tongue
T20 World Cup,2026,Group C,England,Luke Wood
T20 World Cup,2026,Group C,West Indies,Shai Hope (c)
T20 World Cup,2026,Group C,West Indies,Shimron Hetmyer
T20 World Cup,2026,Group C,West Indies,Johnson Charles
T20 World Cup,2026,Group C,West Indies,Roston Chase
